location_id,location_name,location_type,ward_name
153,Metro Toronto Convention Centre,City,Spadina-Fort York
157,Scarborough Town Centre,City,Scarborough Centre
158,Cloverdale Mall,City,Etobicoke-Lakeshore
650,Woodbine Mall,City,Etobicoke North
150,Mitchell Field Community Centre,City,Willowdale
218,Wellesley Community Centre,Hospital,Toronto Centre
612,The Mid-Scarborough Hub,Hospital,Scarborough Centre
611,TAIBU Community Health Centre,Hospital,Scarborough North
204,CAMH Vaccination Clinic,Hospital,Spadina-Fort York
187,Michael Garron Hospital,Hospital,Beaches-East York
216,"Regent Park, 40 Oaks (Fred Victor)",Hospital,Toronto Centre
208,University Health Network - University of Toronto - St. George's Campus Vaccination Clinic,Hospital,NA
201,East York Town Centre,Hospital,Don Valley West
184,Carefirst Seniors and Community Services Association Clinic,Hospital,Scarborough-Agincourt
185,Centennial College Progress Campus Clinic,Hospital,Scarborough-Guildwood
186,Humber River Hospital COVax Vaccine Clinic - Downsview Arena,Hospital,York South-Weston
190,Seneca College Vaccination Clinic,Hospital,Don Valley North
191,SHN Centenary Clinic,Hospital,Scarborough-Guildwood
198,Warden Hilltop Community Centre,Hospital,Scarborough Southwest
209,West Park Healthcare Centre,Hospital,York South-Weston
189,NYGH Vaccination Clinic,Hospital,Don Valley North
246,KIPLING & QUEENSWAY PHARMACY,Pharmacy,Etobicoke-Lakeshore
247,NEW CALEDONIA PHARMACY,Pharmacy,Eglinton-Lawrence
248,HEALTH CHECK PHARMACY   PHARMASAVE,Pharmacy,Scarborough North
249,Vina Pharmacy,Pharmacy,Toronto-Danforth
250,Birchmount Pharmasave,Pharmacy,Scarborough Southwest
251,Whole Health Pharmacy,Pharmacy,York South-Weston
252,pharmasave 606,Pharmacy,Beaches-East York
253,Keele and Finch Pharmacy,Pharmacy,York Centre
254,Jarvis st. Apothecary,Pharmacy,Toronto Centre
255,Total Health Pharmacy,Pharmacy,Toronto-Danforth
256,Nor-Arm Pharmacy,Pharmacy,York Centre
257,Premier Pharmacy and Compounding Centre,Pharmacy,Eglinton-Lawrence
258,Northcliffe Pharmacy,Pharmacy,Toronto-St. Paul's
259,LOBLAWS INC LOB1010 RX DSP,Pharmacy,Willowdale
260,LOBLAWS INC LOB1212 RX DSP,Pharmacy,Toronto-St. Paul's
278,Dynasty Pharmacy,Pharmacy,Willowdale
279,Lingeman IDA Pharmacy,Pharmacy,Parkdale-High Park
280,Guardian Village Square Pharmacy,Pharmacy,Scarborough-Agincourt
281,Orton Park Guardian Pharmacy,Pharmacy,Scarborough-Guildwood
282,Canadian Compounding Pharmacy,Pharmacy,Etobicoke-Lakeshore
283,High Park,Pharmacy,Parkdale-High Park
284,Junction Pharmacy,Pharmacy,Parkdale-High Park
285,Rosebury - Sobeys,Pharmacy,Eglinton-Lawrence
286,Lawrence/Midland - Sobeys,Pharmacy,Scarborough Centre
261,Unicare Pharmacy,Pharmacy,Etobicoke-Lakeshore
262,Care and Health Pharmacy,Pharmacy,Beaches-East York
263,Rylander Pharmasave,Pharmacy,Scarborough-Rouge Park
264,Sam's I.D.A. Pharmacy,Pharmacy,Toronto-St. Paul's
265,Pharmasave (PHF 307-1),Pharmacy,University-Rosedale
266,Snowden Pharmacy,Pharmacy,University-Rosedale
267,City Pharmacy Remedy's Rx,Pharmacy,Toronto-Danforth
268,Bathurst Wilson IDA Pharmacy,Pharmacy,York Centre
269,ARIA PHARMACY,Pharmacy,Willowdale
270,CLINICPLUS I.D.A. PHARMACY,Pharmacy,Etobicoke-Lakeshore
271,THE MEDICINE SHOPPE PHARMACY # 134,Pharmacy,York South-Weston
272,People's Choice RemedysRx,Pharmacy,Scarborough-Rouge Park
273,Kennedy Road Pharmacy,Pharmacy,Scarborough Centre
274,East York Pharmasave,Pharmacy,Toronto-Danforth
275,Lefko Pharmasave #794,Pharmacy,York Centre
276,One Eva,Pharmacy,Etobicoke Centre
277,Lawrence Pharmacy,Pharmacy,Scarborough Centre
221,Keele-Ingram Pharmacy,Pharmacy,York South-Weston
222,LOBLAWS INC RCSS2800 RX DSP,Pharmacy,York South-Weston
223,Shoppers Drug Mart 857,Pharmacy,Etobicoke North
224,Shoppers Drug Mart 859,Pharmacy,Scarborough Southwest
225,Wal-Mart Pharmacy #3159,Pharmacy,Scarborough Centre
226,Shoppers Drug Mart 1322,Pharmacy,Toronto Centre
227,LOBLAWS INC FORT4165 RX DSP,Pharmacy,Etobicoke North
228,Welcome Guardian Drugs (Roncesvalles),Pharmacy,Parkdale-High Park
229,Healing Source Pharmacy,Pharmacy,Parkdale-High Park
