_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,geometry,Date_Added,wardName
197073,153,Metro Toronto Convention Centre,City-operated Immunization Clinic,"255 Front Street West, North Building, Lower Level, Constitution Hall, Room 107",NA,NA,NA,NA,-79.386829859627,NA,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,15,"c(-79.386829859627, 43.643971128415)",NA,Spadina-Fort York
197074,157,Scarborough Town Centre,City-operated Immunization Clinic,300 Borough Drive,NA,NA,NA,NA,-79.258930615442,NA,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,16,"c(-79.258930615442, 43.776990231769)",NA,Scarborough Centre
197075,158,Cloverdale Mall,City-operated Immunization Clinic,250 The East Mall,NA,NA,NA,NA,-79.556501959627,NA,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,17,"c(-79.556501959627, 43.632603612174)",NA,Etobicoke-Lakeshore
197076,650,Woodbine Mall,City-operated Immunization Clinic,500 Rexdale Boulevard,NA,NA,NA,NA,-79.599279647844,NA,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,18,"c(-79.599279647844, 43.719178000313)",2021-09-21,Etobicoke North
197077,150,Mitchell Field Community Centre,City-operated Immunization Clinic,89 Church Avenue,NA,NA,NA,NA,-79.408229001951,NA,1 p.m. to 7 p.m.,"Open for booked appointments only, Tuesday to Friday from 2 p.m.  8 p.m. and Saturday from 11 a.m.  5 p.m. Adjusted days/hours may occasionally apply.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,19,"c(-79.408229001951, 43.774637558851)",NA,Willowdale
197078,218,Wellesley Community Centre,Hospital Immunization Clinic,495 Sherbourne Street (east entrance by the parkette),NA,NA,NA,NA,-79.374465659626,NA,NA,"The COVID Vaccine Clinic at the Wellesley Community Centre accepts walk-ins for first and second doses, both Pfizer and Moderna. Appointments are also available at www.stjamestown.org. Hours are Thursdays (12:30 p.m. to 7 p.m.) and Fridays/Saturdays (9:30 a.m. to 4 p.m.).",NA,NA,NA,NA,https://sherbourne.on.ca/covid-19-vaccine-info/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,20,"c(-79.374465659626, 43.667604299075)",NA,Toronto Centre
197079,612,The Mid-Scarborough Hub,Hospital Immunization Clinic,2660 Eglinton Avenue East,NA,NA,NA,NA,-79.250706610454,NA,NA,Please visit the hospital's website for booking information.  Accessible and parking is available.,NA,NA,NA,NA,https://www.scarboroughcovidvaccineclinic.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,21,"c(-79.250706610454, 43.737387970125)",2021-07-10,Scarborough Centre
197080,611,TAIBU Community Health Centre,Hospital Immunization Clinic,27 Tapscott Road,NA,NA,NA,NA,-79.2205897086,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://www.scarboroughcovidvaccineclinic.ca/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,22,"c(-79.2205897086, 43.806308528206)",2021-07-10,Scarborough North
197081,204,CAMH Vaccination Clinic,Hospital Immunization Clinic,100 Stokes Street,NA,NA,NA,NA,-79.419124457775,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,http://www.camh.ca/covidvaccine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,23,"c(-79.419124457775, 43.64352200475)",NA,Spadina-Fort York
197082,187,Michael Garron Hospital,Hospital Immunization Clinic,825 Coxwell Avenue,NA,NA,NA,NA,-79.324879659625,NA,NA,Please visit the hospital's website for booking information. Accessible and parking is available.,NA,NA,NA,NA,https://tehn.ca/covid19/covid-19-vaccine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ontario Health; Toronto Public Health,24,"c(-79.324879659625, 43.690088500097)",NA,Beaches-East York
